"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"1","733","733","733","361","361","361"
"2","1194","1194","1194","201","201","201"
"3","2966.725490196078","2785","5703","783.843137254902","703","2000"
"4","4054.549019607843","3037","7384","479.5882352941176","43","2000"
"5","6568.117647058823","4126","11893","1113.0980392156862","266","2000"
"6","8665.117647058823","5683","16019","928.0392156862745","101","2000"
"7","10115.333333333334","6308","17718","640.5294117647059","46","2000"
"8","11670","7069","18742","686.9803921568628","38","2000"
"9","12952.470588235294","7588","19480","565.9803921568628","62","2000"
"10","14755.470588235294","8812","20049","797.3333333333334","21","2000"
"11","16235.039215686274","9658","23768","653.6078431372549","59","2000"
"12","17501.019607843136","10081","27611","558.6470588235294","59","2000"
"13","18830.803921568626","10720","27814","587","51","2000"
"14","20164.607843137255","11978","29098","588.7843137254902","62","2000"
"15","21418.039215686276","13711","32244","553.0784313725491","47","2000"
"16","22606.29411764706","14667","36753","524.0980392156863","20","2000"
"17","23781.823529411766","15612","39761","518.4901960784314","63","2000"
"18","24893.196078431374","16406","39955","489.9019607843137","34","2000"
"19","25679.86274509804","17680","40207","345.6666666666667","32","2000"
"20","27044.235294117647","17911","42551","602.4117647058823","57","2000"
"21","28091.725490196077","18283","44862","461.52941176470586","30","1953"
"22","29185.980392156864","18505","46646","482.3137254901961","41","2000"
"23","30020.235294117647","18575","47825","366.7647058823529","27","1512"
"24","30964.176470588234","18958","49328","415.5686274509804","61","2000"
"25","31730.686274509804","19133","50140","336.6862745098039","23","2000"
"26","32295.882352941175","19214","51373","247.19607843137254","32","982"
"27","32970.72549019608","19651","51517","295.94117647058823","13","1055"
"28","33785.21568627451","20254","52831","357.96078431372547","28","2000"
"29","34403.41176470588","21064","54724","270.7647058823529","36","1521"
"30","35116.05882352941","24506","55518","312.70588235294116","37","2000"
"31","35801.39215686275","25915","57311","300.5882352941176","35","2000"
"32","36350.549019607846","26119","57730","240.13725490196077","28","1287"
"33","36886.21568627451","26506","58177","234.01960784313727","37","1438"
"34","37462.76470588235","26828","58828","252.2549019607843","18","1219"
"35","38047.03921568627","26898","59507","255.68627450980392","27","2000"
"36","38542.60784313725","27305","64016","216.2549019607843","23","2000"
"37","38947.41176470588","27496","64498","175.90196078431373","30","682"
"38","39494.117647058825","27688","65447","238.98039215686273","19","2000"
"39","39998.333333333336","27872","69956","220.07843137254903","31","2000"
"40","40426.117647058825","27976","71025","186.15686274509804","26","924"
"41","41177.23529411765","28066","72940","329.7843137254902","36","2000"
"42","41748.19607843137","28223","73846","249.80392156862746","42","1419"
"43","42187.23529411765","28426","76411","191.13725490196077","30","1308"
"44","42706.86274509804","28534","76909","226.90196078431373","28","2000"
"45","43181.17647058824","28711","77496","206.8235294117647","25","1324"
"46","43589.549019607846","28916","80313","177.49019607843138","17","1248"
"47","44117.509803921566","29150","80704","230.64705882352942","26","2000"
