Wall time,Step,Value
1689573843.186614,4,300.0
1689573846.180978,5,1259.0
1689573851.3269384,11,26.0
1689573851.7010007,15,19.0
1689573851.7613637,16,20.0
1689573852.241034,19,22.0
1689573852.3578475,20,53.0
1689573852.5618155,21,87.0
1689573852.850122,23,64.0
1689573852.9759955,24,56.0
1689573853.8042374,27,33.0
1689573853.9013655,28,37.0
1689573856.17062,39,75.0
1689573856.5015206,41,15.0
1689573857.6819327,48,154.0
1689573857.7356558,49,19.0
1689573857.8757586,50,61.0
1689573858.1827292,52,39.0
1689573858.45686,55,54.0
1689573858.926948,58,30.0
1689573859.1531284,61,26.0
1689573859.3491514,62,76.0
1689573859.4242983,63,31.0
1689573859.532101,64,43.0
1689573859.9709198,66,62.0
1689573860.0239658,67,21.0
1689573860.0734758,68,19.0
1689573860.1974456,69,49.0
1689573860.299893,71,22.0
1689573860.4508455,72,54.0
1689573862.531733,78,268.0
1689573862.7079244,80,53.0
1689573862.782719,81,32.0
1689573862.916488,83,27.0
1689573863.2455602,86,24.0
1689573863.5753243,90,53.0
1689573864.541482,100,57.0
1689573864.7864456,101,92.0
1689573865.2650714,104,38.0
1689573865.5463524,107,29.0
1689573865.6628113,108,48.0
1689573865.8263178,110,22.0
1689573866.2801864,117,25.0
1689573867.015699,122,47.0
1689573867.3703291,126,27.0
1689573867.5683315,127,86.0
1689573867.7227156,129,32.0
1689573867.889077,131,28.0
1689573867.967977,132,31.0
1689573868.4161906,137,18.0
1689573868.5262067,138,41.0
1689573869.1500237,145,29.0
1689573869.2871478,147,20.0
1689573869.3935554,148,41.0
1689573869.6222095,151,20.0
1689573870.1858041,158,26.0
1689573870.3793857,161,18.0
1689573870.5533037,163,39.0
1689573870.7796094,165,49.0
1689573871.2783988,171,21.0
1689573871.3274055,172,21.0
1689573871.5918336,173,96.0
1689573871.9346912,176,61.0
1689573872.0555267,177,42.0
1689573872.1194558,178,28.0
1689573872.536051,182,30.0
1689573872.7252076,185,21.0
1689573872.7670417,186,17.0
1689573872.831529,187,25.0
1689573873.1963763,191,43.0
1689573873.2946641,192,38.0
1689573873.42383,193,55.0
1689573873.8982704,200,64.0
1689573874.199444,203,17.0
1689573874.5292356,204,132.0
1689573874.5907407,205,25.0
1689573874.7117493,206,47.0
1689573874.8949056,208,49.0
1689573875.2147179,210,66.0
1689573875.5015411,212,71.0
1689573875.6723557,214,28.0
1689573876.2655742,216,65.0
1689573876.3737826,217,42.0
1689573876.5319612,220,16.0
1689573876.6199987,221,38.0
1689573876.6740985,222,22.0
1689573876.7690008,223,39.0
1689573876.9748929,225,39.0
1689573877.6566267,230,96.0
1689573878.6540658,240,23.0
1689573878.8171768,242,36.0
1689573878.9858634,245,20.0
1689573879.0933363,246,36.0
1689573879.1445043,247,19.0
1689573879.9618065,255,62.0
1689573880.4648576,259,43.0
1689573880.5957375,260,48.0
1689573880.708743,261,44.0
1689573880.7850504,263,16.0
1689573881.3927116,271,18.0
1689573881.4860363,272,33.0
1689573881.801373,275,13.0
1689573881.9994483,277,49.0
1689573882.1155267,279,25.0
1689573882.2820697,281,40.0
1689573882.4202478,283,23.0
1689573882.5184588,284,40.0
1689573882.7069204,286,34.0
1689573882.8342543,288,24.0
1689573882.9125776,289,33.0
1689573883.074126,291,50.0
1689573883.42513,296,28.0
1689573883.4926434,297,28.0
1689573883.5561583,298,28.0
1689573883.620528,299,26.0
1689573884.6360059,307,20.0
1689573884.8089094,309,55.0
1689573884.9225316,310,42.0
1689573885.14065,313,24.0
1689573885.506873,317,30.0
1689573885.7774851,319,40.0
1689573885.8330896,320,22.0
1689573886.0728846,323,28.0
1689573886.2344272,325,16.0
1689573886.5875154,330,35.0
1689573886.6830351,332,19.0
1689573886.784332,333,41.0
1689573887.1198108,338,20.0
1689573887.26151,339,61.0
1689573887.415717,341,31.0
1689573887.5788822,344,20.0
1689573887.7432103,346,29.0
1689573887.8516548,347,40.0
1689573888.1049566,351,22.0
1689573888.335186,353,63.0
1689573888.5506446,355,39.0
1689573888.9370117,359,32.0
1689573889.1874785,363,27.0
1689573889.2986171,364,41.0
1689573889.5056553,365,82.0
1689573889.5885813,366,33.0
1689573889.7442884,367,67.0
1689573889.8098552,368,27.0
1689573890.4049637,375,14.0
1689573890.5898442,378,39.0
1689573890.6678164,379,34.0
1689573891.229413,387,28.0
1689573891.4533877,391,25.0
1689573891.534505,392,31.0
1689573891.5743437,393,16.0
1689573891.6233656,394,21.0
1689573891.6711473,395,18.0
1689573891.9560099,398,56.0
1689573893.3313987,403,27.0
1689573893.4926434,405,25.0
1689573893.7940958,409,14.0
1689573893.862212,410,25.0
1689573894.0956352,414,25.0
1689573894.21584,415,45.0
1689573894.2785811,416,25.0
1689573894.4333847,419,24.0
1689573894.7062843,422,35.0
1689573894.823232,423,43.0
1689573895.0716684,426,38.0
1689573895.2527874,427,71.0
1689573895.47474,431,18.0
1689573895.8964853,436,19.0
1689573895.979328,437,33.0
1689573896.0675385,438,33.0
1689573896.222723,440,35.0
1689573896.2780056,441,24.0
1689573896.339461,442,25.0
1689573896.5189087,444,36.0
1689573896.5728345,445,17.0
1689573896.6926403,447,28.0
1689573896.9850795,451,25.0
1689573897.1149771,453,29.0
1689573897.1719027,454,18.0
1689573897.2609131,455,29.0
1689573897.383537,457,26.0
1689573897.6291468,461,33.0
1689573897.6605527,462,12.0
1689573897.885817,466,16.0
1689573897.9397411,467,20.0
1689573898.0493734,469,16.0
1689573898.2359633,471,41.0
1689573898.459119,475,30.0
1689573898.4924538,476,12.0
1689573898.6495225,479,20.0
1689573898.7117593,480,23.0
1689573898.8179781,481,41.0
1689573898.862947,482,18.0
1689573899.0079286,484,27.0
1689573899.073234,485,25.0
1689573899.1936557,488,17.0
1689573899.2593672,489,24.0
1689573899.3025837,490,16.0
1689573899.4248142,492,16.0
1689573899.5845497,495,23.0
1689573899.829784,499,15.0
1689573900.04366,503,22.0
1689573900.084952,504,18.0
1689573900.3092582,507,27.0
1689573900.4864118,510,32.0
1689573900.6412528,511,57.0
1689573900.6826222,512,18.0
1689573900.742678,513,26.0
1689573900.7756205,514,14.0
1689573900.8043745,515,12.0
1689573900.952393,518,17.0
1689573901.0005524,519,17.0
1689573901.2190275,520,67.0
1689573901.257614,521,17.0
1689573901.4000177,524,14.0
1689573901.7733266,531,19.0
1689573901.9612746,534,24.0
1689573902.03317,535,29.0
1689573902.1825492,537,36.0
1689573902.2416632,538,22.0
1689573902.2801526,539,14.0
1689573902.3880186,541,16.0
1689573902.5182898,543,26.0
1689573902.6508787,545,18.0
1689573902.7308388,547,18.0
1689573902.7702856,548,15.0
1689573902.9489343,551,27.0
1689573903.0339756,553,14.0
1689573903.2633133,556,22.0
1689573903.3514867,557,31.0
1689573903.7382581,563,32.0
1689573903.8375196,564,37.0
1689573903.9600122,565,46.0
1689573904.1498911,569,22.0
1689573904.312223,572,14.0
1689573904.4976566,574,49.0
1689573904.6644907,577,16.0
1689573904.861526,581,19.0
1689573905.1158466,585,15.0
1689573905.1712542,586,22.0
1689573905.2462273,587,28.0
1689573905.3797557,589,30.0
1689573905.453635,591,16.0
1689573905.5039248,592,22.0
1689573905.5342925,593,12.0
1689573905.621255,595,16.0
1689573905.766781,597,37.0
1689573905.8858793,599,16.0
1689573905.951694,600,21.0
1689573906.0881758,603,15.0
1689573906.137197,604,19.0
1689573906.4238565,609,22.0
1689573906.5310388,611,18.0
1689573906.6953807,614,23.0
1689573906.766432,615,27.0
1689573906.8644454,617,18.0
1689573906.9389899,619,14.0
1689573907.0274153,621,14.0
1689573907.1384187,623,22.0
1689573907.1855617,624,19.0
1689573907.3854463,627,19.0
1689573907.4936628,629,16.0
1689573907.5623426,630,27.0
1689573907.804214,634,26.0
1689573908.0217285,638,20.0
1689573908.1824663,641,19.0
1689573908.2196748,642,14.0
1689573908.2768288,643,22.0
1689573908.3368297,644,23.0
1689573908.3939536,645,21.0
1689573908.7173872,650,18.0
1689573908.837606,652,36.0
1689573908.8926773,653,18.0
1689573908.9982517,654,34.0
1689573909.0890028,655,30.0
1689573909.1376264,656,17.0
1689573909.3425074,659,24.0
1689573909.524437,661,28.0
1689573909.9701824,668,21.0
1689573910.2083857,671,26.0
1689573910.6809497,676,34.0
1689573910.7138429,677,12.0
1689573910.7780168,678,24.0
1689573910.9115179,681,12.0
1689573910.998545,683,14.0
1689573911.0465367,684,20.0
1689573911.1020153,685,24.0
1689573911.2374136,688,20.0
1689573911.456804,693,20.0
1689573911.5644112,695,22.0
1689573911.678208,697,24.0
1689573911.7259994,698,18.0
1689573911.8529527,700,25.0
1689573912.0188487,703,23.0
1689573912.0642507,704,16.0
1689573912.162551,706,17.0
1689573912.3843737,710,23.0
1689573912.414068,711,12.0
1689573912.4967723,713,18.0
1689573912.7257879,716,32.0
1689573912.8643801,718,35.0
1689573913.0204914,721,14.0
1689573913.0666673,722,19.0
1689573913.154653,724,24.0
1689573913.333258,726,24.0
1689573913.3976715,727,25.0
1689573913.515886,729,15.0
1689573913.581822,730,26.0
1689573913.6936994,732,25.0
1689573913.769711,733,30.0
1689573913.8174374,734,18.0
1689573914.099854,739,28.0
1689573914.2900453,743,15.0
1689573914.3375216,744,20.0
1689573914.4061637,745,25.0
1689573915.0350714,757,15.0
1689573915.139984,759,19.0
1689573915.4821308,765,44.0
1689573915.542626,766,25.0
1689573916.0820513,769,174.0
1689573916.1160805,770,14.0
1689573916.2312126,773,16.0
1689573916.360061,776,16.0
1689573916.4361682,777,30.0
1689573916.540211,779,14.0
1689573916.5833585,780,15.0
1689573916.632986,781,17.0
1689573916.698226,782,22.0
1689573916.7819529,783,28.0
1689573917.1289003,789,26.0
1689573917.275731,792,18.0
1689573917.8372488,800,33.0
1689573918.169925,805,18.0
1689573918.2132008,806,16.0
1689573918.2553077,807,16.0
1689573918.300878,808,17.0
1689573922.3525739,811,14.0
1689573922.9065707,819,20.0
1689573922.9647398,820,19.0
1689573923.383833,828,16.0
1689573923.4269276,829,18.0
1689573923.6585298,833,22.0
1689573923.7343876,834,26.0
1689573923.8286493,836,13.0
1689573923.8614326,837,12.0
1689573923.9206245,838,23.0
1689573924.0339847,840,22.0
1689573924.154501,841,38.0
1689573924.325474,844,22.0
1689573924.4703338,846,21.0
1689573924.7918496,851,45.0
1689573924.8640058,852,27.0
1689573925.095056,855,24.0
1689573925.3052886,858,22.0
1689573925.4348798,861,23.0
1689573925.637309,863,57.0
1689573925.795321,866,19.0
1689573925.834377,867,15.0
1689573926.0352924,871,26.0
1689573926.0804932,872,18.0
1689573926.8350556,885,15.0
1689573926.9232457,886,33.0
1689573926.9835763,887,23.0
1689573927.28219,891,21.0
1689573927.3965507,893,24.0
1689573927.6368098,896,12.0
1689573927.7511506,898,26.0
1689573927.820044,899,26.0
1689573927.9465897,902,12.0
1689573927.9876602,903,16.0
1689573928.2498736,908,18.0
1689573928.3090014,909,22.0
1689573928.405232,911,14.0
1689573928.4437,912,14.0
1689573928.6210701,915,22.0
1689573928.8905334,919,31.0
1689573928.978415,920,37.0
1689573929.042691,922,12.0
1689573929.1319435,924,16.0
1689573929.3910294,928,18.0
1689573929.4609935,929,27.0
1689573929.5949125,931,32.0
1689573929.676577,932,33.0
1689573929.7187512,933,17.0
1689573929.7752986,934,19.0
1689573929.8956923,936,14.0
1689573930.1089172,940,25.0
1689573930.2038338,942,20.0
1689573930.2554173,943,21.0
1689573930.4137592,946,13.0
1689573930.6414034,950,22.0
1689573930.824425,953,20.0
1689573931.01049,956,23.0
1689573931.1319761,957,38.0
1689573931.3531923,961,24.0
1689573931.4477248,963,20.0
1689573931.4868724,964,16.0
1689573931.5985634,966,20.0
1689573931.7412946,968,38.0
1689573931.7908692,969,14.0
1689573932.005742,972,22.0
1689573932.3131368,977,26.0
1689573932.4174078,979,18.0
1689573932.4647388,980,15.0
1689573932.6165304,983,18.0
1689573932.8713586,987,26.0
1689573933.1056821,991,20.0
1689573933.2785513,993,37.0
1689573933.478679,995,50.0
1689573933.6409853,997,14.0
1689573933.8064382,999,38.0
1689573933.851732,1000,16.0
1689573942.224043,1003,1917.0
1689573948.7588153,1004,2505.0
1689573951.5507572,1005,1088.0
1689574031.0655665,1007,12419.0
1689574142.6467628,1012,231.0
1689574145.1976588,1014,151.0
1689574176.06966,1016,118.0
1689574178.5763383,1018,790.0
1689574396.717466,1023,12364.0
1689574433.247637,1027,64.0
1689574433.7604735,1029,66.0
1689574433.97389,1030,79.0
1689574436.163425,1036,42.0
1689574436.467813,1037,120.0
1689574436.5993881,1038,54.0
1689574436.7311258,1039,55.0
1689574437.1708798,1040,161.0
1689574437.9779544,1044,41.0
1689574438.5283406,1047,36.0
1689574439.852829,1053,107.0
1689574442.681161,1057,581.0
1689574443.0971541,1059,143.0
1689574443.7373917,1060,275.0
1689574443.9664855,1061,98.0
1689574444.7835965,1063,191.0
1689574445.8854837,1066,83.0
1689574475.6220663,1068,8010.0
1689574476.0183334,1070,109.0
1689574476.1373272,1071,45.0
1689574476.352213,1072,79.0
1689574476.5351963,1073,67.0
1689574476.8176303,1074,105.0
1689574477.1605814,1075,144.0
1689574477.5365257,1078,55.0
1689574477.832019,1079,111.0
1689574478.3451877,1081,137.0
1689574478.4633143,1082,40.0
1689574478.652382,1083,71.0
1689574478.9935699,1086,34.0
1689574479.1814644,1087,69.0
1689574479.3596516,1088,63.0
1689574479.9245384,1092,38.0
1689574480.7512314,1099,75.0
1689574480.996857,1101,47.0
1689574481.248401,1103,46.0
1689574481.3517668,1104,39.0
1689574481.4517357,1105,37.0
1689574481.9106696,1108,60.0
1689574482.1699111,1110,58.0
1689574482.44578,1112,65.0
1689574482.5499792,1113,44.0
1689574482.771567,1115,42.0
1689574483.6884947,1120,79.0
1689574484.07028,1122,91.0
1689574484.2288167,1123,62.0
1689574484.6440272,1126,40.0
1689574484.831469,1127,75.0
1689574485.0797095,1129,40.0
1689574485.2809856,1130,83.0
1689574485.5448015,1132,36.0
1689574485.6122005,1133,28.0
1689574485.9645817,1135,83.0
1689574486.102217,1136,58.0
1689574486.2845669,1137,64.0
1689574487.0709152,1140,102.0
1689574487.5402176,1143,62.0
1689574489.251566,1147,73.0
1689574490.311438,1149,290.0
1689574490.608206,1151,61.0
1689574490.7473412,1152,50.0
1689574490.950169,1153,80.0
1689574491.6507638,1154,275.0
1689574511.8981116,1161,89.0
1689574512.1851056,1163,34.0
1689574512.629927,1165,81.0
1689574513.1721377,1168,72.0
1689574514.3025522,1174,92.0
1689574514.608788,1175,114.0
1689574515.1116824,1177,56.0
1689574515.4395332,1178,114.0
1689574515.6276565,1179,70.0
1689574516.190052,1183,50.0
1689574516.5872467,1185,86.0
1689574516.7961478,1187,48.0
1689574517.4698167,1190,88.0
1689574517.6210887,1191,60.0
1689574517.9806774,1194,61.0
1689574518.3394542,1195,151.0
1689574518.5063553,1196,70.0
1689574518.798355,1198,48.0
1689574518.9138038,1199,47.0
1689574519.3898492,1202,76.0
1689574520.1506283,1206,156.0
1689574520.2362368,1207,36.0
1689574520.4052305,1208,71.0
1689574520.739533,1210,49.0
1689574521.3971431,1214,55.0
1689574521.5267088,1215,55.0
1689574522.2795892,1219,83.0
1689574523.4615128,1224,128.0
1689574523.913854,1226,120.0
1689574524.6218905,1230,41.0
1689574525.199126,1233,67.0
1689574525.3935916,1234,81.0
1689574526.432778,1239,183.0
1689574526.7551427,1241,74.0
1689574527.197686,1244,55.0
1689574527.4099183,1245,80.0
1689574528.1206584,1247,110.0
1689574528.6632526,1250,39.0
1689574528.898991,1251,96.0
1689574528.99946,1252,39.0
1689574529.231111,1253,99.0
1689574529.5215635,1255,51.0
1689574529.85245,1257,73.0
1689574530.51905,1258,256.0
1689574531.122323,1261,76.0
1689574531.4185212,1262,119.0
1689574533.209834,1268,156.0
1689574534.2624226,1272,75.0
1689574535.453727,1277,93.0
1689574535.7125123,1278,98.0
1689574536.0198896,1279,127.0
1689574537.4607193,1283,196.0
1689574538.798657,1286,80.0
1689574539.8482687,1291,56.0
1689574540.2600245,1294,41.0
1689574541.44865,1299,50.0
1689574541.59496,1300,54.0
1689574542.23622,1303,72.0
1689574543.2343493,1307,95.0
1689574544.8094494,1311,59.0
1689574545.842098,1316,73.0
1689574546.8053002,1321,83.0
1689574547.639312,1323,40.0
1689574548.8676357,1326,143.0
1689574549.060301,1327,72.0
1689574549.5529478,1329,118.0
1689574552.3734531,1336,132.0
1689574555.1658783,1345,77.0
1689574555.2660344,1346,36.0
1689574555.871422,1349,77.0
1689574556.8143516,1352,30.0
1689574556.9391122,1353,48.0
1689574557.35493,1355,31.0
1689574559.0909734,1359,212.0
1689574559.8479517,1361,205.0
1689574562.7799957,1365,188.0
1689574562.91645,1366,51.0
1689574563.2189004,1367,130.0
1689574564.12361,1368,390.0
1689574564.4965975,1369,160.0
1689574566.502406,1373,465.0
1689574567.2105772,1376,133.0
1689574567.3785691,1377,71.0
1689574569.4760501,1381,46.0
1689574570.3604016,1386,37.0
1689574571.1056538,1387,278.0
1689574572.9894137,1391,45.0
1689574573.505517,1394,48.0
1689574574.2557561,1398,95.0
1689574595.424993,1418,38.0
1689574595.9638605,1422,55.0
1689574609.302616,1432,49.0
1689574609.5227144,1433,75.0
1689574610.4838681,1437,54.0
1689574611.2512918,1439,148.0
1689574611.884403,1440,227.0
1689574612.024165,1441,54.0
1689574612.2457726,1442,71.0
1689574612.947314,1445,38.0
1689574614.1677914,1448,113.0
1689574615.321321,1450,332.0
1689574615.7430935,1452,55.0
1689574615.8344722,1453,39.0
1689574616.2792804,1455,78.0
1689574616.6865063,1456,151.0
1689574617.1878211,1458,84.0
1689574617.482112,1459,118.0
1689574617.8955874,1460,156.0
1689574618.1234348,1461,81.0
1689574618.3459675,1462,88.0
1689574619.0431292,1464,191.0
1689574621.752272,1471,110.0
