,reward_8,lengths_8,mean_lengths_8,reward_4,lengths_4,mean_lengths_4,reward_1,lengths_1,mean_lengths_1,smooth_1,smooth_4,smooth_8
0,1.0,416.0,,1.0,3763.0,,1.0,447.0,,447.0,3763.0,416.0
1,1.0,264.0,416.0,1.0,1129.0,3763.0,1.0,17343.0,447.0,615.9600000000002,3736.66,414.47999999999996
2,1.0,571.0,340.0,1.0,218.0,2446.0,1.0,78.0,8895.0,610.5804000000002,3701.4734,416.04519999999997
3,1.0,2127.0,417.0,1.0,1797.0,1703.3333333333333,1.0,300.0,5956.0,607.4745960000001,3682.428666,433.154748
4,1.0,1095.0,844.5,1.0,907.0,1726.75,1.0,1259.0,4542.0,613.9898500400002,3654.67437934,439.77320052
5,1.0,280.0,894.6,1.0,553.0,1562.8,1.0,946.0,3885.4,617.3099515396002,3623.6576355466004,438.1754685148
6,1.0,1982.0,792.1666666666666,1.0,255.0,1394.5,1.0,163.0,3395.5,612.7668520242042,3589.9710591911344,453.613713829652
7,1.0,1096.0,962.1428571428571,1.0,260.0,1231.7142857142858,1.0,479.0,2933.714285714286,611.4291835039621,3556.6713485992227,460.0375766913555
8,1.0,1343.0,978.875,1.0,309.0,1110.25,1.0,410.0,2626.875,609.4148916689226,3524.1946351132306,468.867200924442
9,1.0,1342.0,1019.3333333333334,1.0,3061.0,1021.2222222222222,1.0,43.0,2380.5555555555557,603.7507427522332,3519.5626887620983,477.59852891519756
10,1.0,906.0,1051.6,1.0,966.0,1225.2,1.0,26.0,2146.8,597.9732353247109,3494.027061874477,481.88254362604556
11,1.0,806.0,1038.3636363636363,1.0,715.0,1201.6363636363637,1.0,26.0,1954.0,592.2535029714638,3466.2367912557324,485.1237181897851
12,1.0,126.0,1019.0,1.0,883.0,1161.0833333333333,1.0,27.0,1793.3333333333333,586.6009679417492,3440.404423343175,481.53248100788727
13,1.0,1688.0,950.3076923076923,1.0,86.0,1139.6923076923076,1.0,81.0,1657.4615384615386,581.5449582623316,3406.8603791097435,493.5971561978084
14,1.0,2881.0,1003.0,1.0,1909.0,1064.4285714285713,1.0,19.0,1544.857142857143,575.9195086797084,3391.8817753186463,517.4711846358304
15,1.0,1943.0,1128.2,1.0,168.0,1120.7333333333333,1.0,20.0,1443.1333333333334,570.3603135929114,3359.6429575654597,531.7264727894722
16,1.0,1383.0,1179.125,1.0,1767.0,1061.1875,1.0,130.0,1354.1875,565.9567104569823,3343.716527989805,540.2392080615774
17,1.0,313.0,1191.1176470588234,1.0,144.0,1102.7058823529412,1.0,37.0,1282.1764705882354,560.6671433524124,3311.719362709907,537.9668159809617
18,1.0,1663.0,1142.3333333333333,1.0,371.0,1049.4444444444443,1.0,22.0,1213.0,555.2804719188882,3282.312169082808,549.217147821152
19,1.0,404.0,1169.7368421052631,1.0,94.0,1013.7368421052631,1.0,53.0,1150.3157894736842,550.2576671996993,3250.42904739198,547.7649763429405
20,1.0,66.0,1131.45,1.0,169.0,967.75,1.0,87.0,1095.45,545.6250905277024,3219.6147569180603,542.947326579511
21,1.0,690.0,1080.7142857142858,1.0,411.0,929.7142857142857,1.0,54.0,1047.4285714285713,540.7088396224253,3191.52860934888,544.4178533137159
22,1.0,1415.0,1062.9545454545455,1.0,82.0,906.1363636363636,1.0,64.0,1002.2727272727273,535.9417512262011,3160.4333232553913,553.1236747805788
23,1.0,100.0,1078.2608695652175,1.0,1179.0,870.304347826087,1.0,56.0,961.4782608695652,531.142333713939,3140.6189900228374,548.592438032773
24,1.0,90.0,1037.5,1.0,438.0,883.1666666666666,1.0,23.0,923.75,526.0609103767996,3113.592800122609,544.0065136524452
25,1.0,145.0,999.6,1.0,411.0,865.36,1.0,255.0,887.72,523.3503012730315,3086.566872121383,540.0164485159207
26,1.0,539.0,966.7307692307693,1.0,397.0,847.8846153846154,1.0,33.0,863.3846153846154,518.4467982603012,3059.671203400169,540.0062840307615
27,1.0,80.0,950.8888888888889,1.0,159.0,831.1851851851852,1.0,37.0,832.6296296296297,513.6323302776982,3030.664491366167,535.4062211904538
28,1.0,192.0,919.7857142857143,1.0,145.0,807.1785714285714,1.0,50.0,804.2142857142857,508.9960069749212,3001.807846452505,531.9721589785493
29,1.0,347.0,894.6896551724138,1.0,121.0,784.3448275862069,1.0,109.0,778.2068965517242,504.99604690517197,2972.9997679879802,530.1224373887638
30,1.0,1248.0,876.4333333333333,1.0,310.0,762.2333333333333,1.0,43.0,755.9,500.37608643612026,2946.3697703081,537.3012130148762
31,1.0,578.0,888.4193548387096,1.0,220.0,747.6451612903226,1.0,52.0,732.9032258064516,495.89232557175905,2919.106072605019,537.7082008847274
32,1.0,56.0,878.71875,1.0,1574.0,731.15625,1.0,16.0,711.625,491.0934023160415,2905.655011878969,532.89111887588
33,1.0,105.0,853.7878787878788,1.0,104.0,756.6969696969697,1.0,258.0,690.5454545454545,488.76246829288107,2877.6384617601793,528.6122076871212
34,1.0,313.0,831.7647058823529,1.0,184.0,737.5,1.0,121.0,677.8235294117648,485.08484360995226,2850.7020771425778,526.4560856102499
35,1.0,1382.0,816.9428571428572,1.0,48.0,721.6857142857143,1.0,50.0,661.9142857142857,480.73399517385275,2822.675056371152,535.0115247541474
36,1.0,119.0,832.6388888888889,1.0,138.0,702.9722222222222,1.0,25.0,644.9166666666666,476.1766552221142,2795.8283058074408,530.851409506606
37,1.0,45.0,813.3513513513514,1.0,100.0,687.7027027027027,1.0,30.0,628.1621621621622,471.71488866989307,2768.8700227493664,525.9928954115401
