"episode","env.name: sapientino - _step","env.name: sapientino - _step__MIN","env.name: sapientino - _step__MAX","env.name: sapientino - reward","env.name: sapientino - reward__MIN","env.name: sapientino - reward__MAX","env.name: Sarsa-Sapientino3C-1 - _step","env.name: Sarsa-Sapientino3C-1 - _step__MIN","env.name: Sarsa-Sapientino3C-1 - _step__MAX","env.name: Sarsa-Sapientino3C-1 - reward","env.name: Sarsa-Sapientino3C-1 - reward__MIN","env.name: Sarsa-Sapientino3C-1 - reward__MAX"
"1","3.3333333333333335","0","10","2.3333333333333335","-1","99","4","4","4","-9.70299","-9.70299","-9.70299"
"2","11.066666666666666","1","20","-1","-1","-1","8","8","8","-9.801","-9.801","-9.801"
"3","20.133333333333333","2","34","-1","-1","-1","11","11","11","-9.9","-9.9","-9.9"
"4","28.533333333333335","3","46","-1","-1","-1","13","13","13","-10","-10","-10"
"5","38.266666666666666","4","62","-1","-1","-1","23","23","23","-9.2274469442792","-9.2274469442792","-9.2274469442792"
"6","46","5","72","12.333333333333334","-1","99","32","32","32","-9.320653479069898","-9.320653479069898","-9.320653479069898"
"7","53.733333333333334","6","82","-1","-1","-1","46","46","46","-8.863848717161291","-8.863848717161291","-8.863848717161291"
"8","61.46666666666667","7","92","-1","-1","-1","50","50","50","-9.801","-9.801","-9.801"
"9","70.86666666666666","8","107","-1","-1","-1","53","53","53","-9.9","-9.9","-9.9"
"10","78.6","9","117","-1","-1","-1","63","63","63","-9.2274469442792","-9.2274469442792","-9.2274469442792"
"11","87.33333333333333","10","130","2.3333333333333335","-1","99","68","68","68","-9.70299","-9.70299","-9.70299"
"12","97.73333333333333","11","148","-1","-1","-1","77","77","77","-9.320653479069898","-9.320653479069898","-9.320653479069898"
"13","105.8","12","159","-1","-1","-1","109","109","109","-7.397003733882802","-7.397003733882802","-7.397003733882802"
"14","114.86666666666666","13","173","-1","-1","-1","134","134","134","-7.936142836436552","-7.936142836436552","-7.936142836436552"
"15","125.93333333333334","14","193","-1","-1","-1","159","159","159","76.35817650195611","76.35817650195611","76.35817650195611"
"16","135.33333333333334","15","208","-1","-1","-1","175","175","175","-8.687458127689782","-8.687458127689782","-8.687458127689782"
"17","153.83333333333334","16","253","-1","-1","-1","212","212","212","68.43745177036756","68.43745177036756","68.43745177036756"
"18","168.43333333333334","17","283","-1","-1","-1","389","389","389","15.676483545711392","15.676483545711392","15.676483545711392"
"19","183.73333333333332","18","316","29","-1","99","470","470","470","47.51361576236589","47.51361576236589","47.51361576236589"
"20","195.43333333333334","19","340","-1","-1","-1","508","508","508","88.13487280950426","88.13487280950426","88.13487280950426"
"21","213.03333333333333","20","400","39","-1","99","538","538","538","87.55181211796368","87.55181211796368","87.55181211796368"
"22","227.23333333333332","21","445","-1","-1","-1","623","623","623","90.75669172208188","90.75669172208188","90.75669172208188"
"23","244.23333333333332","22","487","2.3333333333333335","-1","99","649","649","649","87.24222358192782","87.24222358192782","87.24222358192782"
"24","261.1333333333333","23","499","15.666666666666666","-1","99","674","674","674","254.06561444358096","254.06561444358096","254.06561444358096"
"25","283.53333333333336","24","652","2.3333333333333335","-1","99","714","714","714","224.21081100003872","224.21081100003872","224.21081100003872"
"26","306.73333333333335","25","709","-1","-1","-1","726","726","726","270.60412312549596","270.60412312549596","270.60412312549596"
"27","337.23333333333335","26","835","12.333333333333334","-1","299","737","737","737","270.5127714007476","270.5127714007476","270.5127714007476"
"28","368.03333333333336","27","889","35.666666666666664","-1","99","765","765","765","271.9475124175325","271.9475124175325","271.9475124175325"
"29","389.03333333333336","28","901","-1","-1","-1","783","783","783","267.46084228081213","267.46084228081213","267.46084228081213"
"30","405.6333333333333","29","952","-1","-1","-1","797","797","797","270.7840951584227","270.7840951584227","270.7840951584227"
"31","429.03333333333336","30","994","5.666666666666667","-1","99","814","814","814","271.0473603291711","271.0473603291711","271.0473603291711"
"32","445.03333333333336","31","1012","5.666666666666667","-1","99","830","830","830","267.28796186407106","267.28796186407106","267.28796186407106"
"33","470.8333333333333","32","1141","2.3333333333333335","-1","99","864","864","864","272.39814051600547","272.39814051600547","272.39814051600547"
"34","490.6333333333333","33","1195","-1","-1","-1","878","878","878","268.93860576956683","268.93860576956683","268.93860576956683"
"35","509.8333333333333","34","1219","9","-1","299","896","896","896","271.1333661646353","271.1333661646353","271.1333661646353"
"36","536.9333333333333","35","1420","5.666666666666667","-1","99","996","996","996","275.9133010710413","275.9133010710413","275.9133010710413"
"37","560.0333333333333","36","1543","9","-1","299","1105","1105","1105","276.2362832604436","276.2362832604436","276.2362832604436"
"38","589.0333333333333","37","1609","2.3333333333333335","-1","99","1230","1230","1230","273.94657949372845","273.94657949372845","273.94657949372845"
"39","628.5333333333333","38","1993","5.666666666666667","-1","99","1582","1582","1582","247.57900647332903","247.57900647332903","247.57900647332903"
"40","667.6333333333333","39","2248","9","-1","99","1934","1934","1934","250.0828014920951","250.0828014920951","250.0828014920951"
"41","700.5333333333333","40","2518","2.3333333333333335","-1","99","2041","2041","2041","110.84479004719913","110.84479004719913","110.84479004719913"
"42","747.2333333333333","41","3097","5.666666666666667","-1","99","2133","2133","2133","36.8346977154717","36.8346977154717","36.8346977154717"
"43","786.1333333333333","42","3358","2.3333333333333335","-1","99","2485","2485","2485","168.3566364597782","168.3566364597782","168.3566364597782"
"44","839.5333333333333","43","3532","2.3333333333333335","-1","99","2837","2837","2837","72.9378618412517","72.9378618412517","72.9378618412517"
"45","897.3333333333334","44","4054","9","-1","99","3189","3189","3189","106.26234271314438","106.26234271314438","106.26234271314438"
"46","942.5333333333333","45","4093","5.666666666666667","-1","99","3541","3541","3541","279.35124349107423","279.35124349107423","279.35124349107423"
"47","961.448275862069","46","4396","12.793103448275861","-1","99","3893","3893","3893","273.78624940795004","273.78624940795004","273.78624940795004"
"48","993.2068965517242","47","4573","9.344827586206897","-1","99","4245","4245","4245","279.35124349107423","279.35124349107423","279.35124349107423"
"49","1033.0344827586207","48","4861","9.344827586206897","-1","99","4487","4487","4487","278.7516576885608","278.7516576885608","278.7516576885608"
"50","1075.2413793103449","49","4879","2.4482758620689653","-1","99","4839","4839","4839","279.35124349107423","279.35124349107423","279.35124349107423"
"51","1153.448275862069","50","5128","2.4482758620689653","-1","99","4989","4989","4989","277.3884623202442","277.3884623202442","277.3884623202442"
"52","1216.551724137931","51","5266","12.793103448275861","-1","99","5016","5016","5016","271.8697302815926","271.8697302815926","271.8697302815926"
"53","1284.6206896551723","52","6259","12.793103448275861","-1","99","5058","5058","5058","272.9582262898872","272.9582262898872","272.9582262898872"
"54","1343.1724137931035","53","6556","9.344827586206897","-1","99","5126","5126","5126","270.82404881752285","270.82404881752285","270.82404881752285"
"55","1406.4827586206898","54","7132","2.4482758620689653","-1","99","5159","5159","5159","272.32491017904005","272.32491017904005","272.32491017904005"
"56","1503.6206896551723","55","7654","2.4482758620689653","-1","99","5197","5197","5197","265.4118471527301","265.4118471527301","265.4118471527301"
"57","1588.448275862069","56","8008","12.793103448275861","-1","99","5201","5201","5201","-9.801","-9.801","-9.801"
"58","1663.448275862069","57","8350","12.793103448275861","-1","99","5330","5330","5330","271.2925289066092","271.2925289066092","271.2925289066092"
"59","1753.9655172413793","58","9412","5.896551724137931","-1","99","5387","5387","5387","273.8943963758147","273.8943963758147","273.8943963758147"
"60","1838.7931034482758","59","10474","43.827586206896555","-1","99","5501","5501","5501","276.40348857694977","276.40348857694977","276.40348857694977"
"61","1874.7931034482758","60","10513","16.24137931034483","-1","99","5815","5815","5815","264.78351465295447","264.78351465295447","264.78351465295447"
"62","1908.8275862068965","61","10540","12.793103448275861","-1","99","5839","5839","5839","271.63163798019355","271.63163798019355","271.63163798019355"
"63","1982.7931034482758","62","11602","23.137931034482758","-1","299","5856","5856","5856","82.7511412019512","82.7511412019512","82.7511412019512"
"64","2061.8275862068967","63","12664","16.24137931034483","-1","99","6027","6027","6027","272.2533846093692","272.2533846093692","272.2533846093692"
"65","2129.1724137931033","64","13726","16.24137931034483","-1","99","6316","6316","6316","279.08908667688485","279.08908667688485","279.08908667688485"
"66","2208.4137931034484","65","14788","16.24137931034483","-1","99","6535","6535","6535","272.95357724272674","272.95357724272674","272.95357724272674"
"67","2294.0689655172414","66","15850","54.172413793103445","-1","99","6887","6887","6887","279.35124349107423","279.35124349107423","279.35124349107423"
"68","2388.310344827586","67","16912","54.172413793103445","-1","99","7239","7239","7239","279.35124349107423","279.35124349107423","279.35124349107423"
"69","2459.0689655172414","68","17974","5.896551724137931","-1","99","7591","7591","7591","279.35124349107423","279.35124349107423","279.35124349107423"
"70","2554.862068965517","69","19036","19.689655172413794","-1","99","7943","7943","7943","266.8139755337479","266.8139755337479","266.8139755337479"
"71","2680.7586206896553","70","20098","16.24137931034483","-1","99","8030","8030","8030","275.39204264169746","275.39204264169746","275.39204264169746"
"72","2807.793103448276","71","21160","47.275862068965516","-1","99","8044","8044","8044","-8.863848717161291","-8.863848717161291","-8.863848717161291"
"73","2973.6206896551726","72","22222","105.89655172413794","-1","299","8164","8164","8164","363.5917007235721","363.5917007235721","363.5917007235721"
"74","3096.103448275862","73","23284","43.827586206896555","-1","99","8462","8462","8462","262.77246228977515","262.77246228977515","262.77246228977515"
"75","3224.1724137931033","74","24346","12.793103448275861","-1","99","8476","8476","8476","84.3426860735377","84.3426860735377","84.3426860735377"
"76","3357.206896551724","75","24379","30.03448275862069","-1","99","8750","8750","8750","292.2470431685272","292.2470431685272","292.2470431685272"
"77","3480","76","25441","12.793103448275861","-1","99","8846","8846","8846","266.7153704090513","266.7153704090513","266.7153704090513"
"78","3691.0344827586205","77","26503","30.03448275862069","-1","99","9031","9031","9031","322.63370320492703","322.63370320492703","322.63370320492703"
"79","3821.1724137931033","78","27565","12.793103448275861","-1","99","9249","9249","9249","314.4943019803616","314.4943019803616","314.4943019803616"
"80","3988.0344827586205","79","28627","16.20689655172414","-2","99","9314","9314","9314","670.251768858257","670.251768858257","670.251768858257"
"81","4243.448275862069","80","29689","23.137931034482758","-1","99","9396","9396","9396","605.5674587772896","605.5674587772896","605.5674587772896"
"82","4443.517241379311","81","30751","54.172413793103445","-1","99","9454","9454","9454","711.182308289374","711.182308289374","711.182308289374"
"83","4692.310344827586","82","31813","19.689655172413794","-1","99","9636","9636","9636","395.353131711273","395.353131711273","395.353131711273"
"84","4863.620689655172","83","32875","19.689655172413794","-1","99","9877","9877","9877","392.44269282345397","392.44269282345397","392.44269282345397"
"85","5122.3448275862065","84","33937","23.137931034482758","-1","99","10229","10229","10229","279.35124349107423","279.35124349107423","279.35124349107423"
"86","5364.724137931034","85","34999","19.689655172413794","-1","99","10462","10462","10462","400.6540561153167","400.6540561153167","400.6540561153167"
"87","5655.931034482759","86","36061","23.137931034482758","-1","99","10596","10596","10596","614.2813369009469","614.2813369009469","614.2813369009469"
"88","5922.413793103448","87","37123","19.689655172413794","-1","99","10948","10948","10948","275.6787196072511","275.6787196072511","275.6787196072511"
"89","6221.482758620689","88","38185","23.137931034482758","-1","99","11049","11049","11049","748.7277334816216","748.7277334816216","748.7277334816216"
"90","6516.931034482759","89","39247","23.275862068965516","-1","99","11286","11286","11286","308.73722921947467","308.73722921947467","308.73722921947467"
"91","6815.068965517241","90","40309","26.724137931034484","-1","99","11497","11497","11497","378.3368534640759","378.3368534640759","378.3368534640759"
"92","7148.586206896552","91","41353","57.62068965517241","-1","99","11660","11660","11660","639.6883778961504","639.6883778961504","639.6883778961504"
"93","7449.206896551724","92","42415","54.172413793103445","-1","99","11720","11720","11720","1023.8501654417092","1023.8501654417092","1023.8501654417092"
"94","7747.551724137931","93","43477","54.172413793103445","-1","99","11759","11759","11759","1232.6704969671111","1232.6704969671111","1232.6704969671111"
"95","7994.172413793103","94","44539","50.724137931034484","-1","99","11818","11818","11818","1202.9862561942487","1202.9862561942487","1202.9862561942487"
"96","8328.310344827587","95","45601","26.586206896551722","-1","99","11858","11858","11858","1228.8503350787023","1228.8503350787023","1228.8503350787023"
"97","8662.448275862069","96","46663","43.827586206896555","-1","99","11916","11916","11916","1214.766626626421","1214.766626626421","1214.766626626421"
"98","8986.241379310344","97","47725","50.724137931034484","-1","99","11993","11993","11993","1110.546724183596","1110.546724183596","1110.546724183596"
"99","9260.275862068966","98","48787","47.275862068965516","-1","99","12038","12038","12038","-6.491026283684022","-6.491026283684022","-6.491026283684022"
"100","9570.310344827587","99","49849","40.51724137931034","-1","100","12390","12390","12390","-0.29670038450977093","-0.29670038450977093","-0.29670038450977093"
"101","9904.448275862069","100","50911","47.275862068965516","-1","99","12479","12479","12479","705.9690027533211","705.9690027533211","705.9690027533211"
"102","10238.586206896553","101","51973","40.37931034482759","-1","99","12588","12588","12588","1111.8409299843122","1111.8409299843122","1111.8409299843122"
"103","10572.724137931034","102","53035","43.96551724137931","-1","100","12781","12781","12781","606.5209657717871","606.5209657717871","606.5209657717871"
"104","10879.655172413793","103","53308","43.827586206896555","-1","99","13133","13133","13133","793.3594021572019","793.3594021572019","793.3594021572019"
"105","11213.793103448275","104","54370","47.275862068965516","-1","99","13296","13296","13296","371.88382973208746","371.88382973208746","371.88382973208746"
"106","11547.931034482759","105","55432","40.51724137931034","-1","100","13535","13535","13535","1165.7494188639043","1165.7494188639043","1165.7494188639043"
"107","11882.068965517241","106","56494","50.86206896551724","-1","100","13742","13742","13742","731.3058606431173","731.3058606431173","731.3058606431173"
"108","12183.51724137931","107","57556","50.724137931034484","-1","99","14094","14094","14094","613.2002904462275","613.2002904462275","613.2002904462275"
"109","12481.655172413793","108","57574","40.51724137931034","-1","100","14198","14198","14198","1356.8123079824281","1356.8123079824281","1356.8123079824281"
"110","12815.793103448275","109","58636","43.827586206896555","-1","99","14550","14550","14550","661.7241503196032","661.7241503196032","661.7241503196032"
"111","13149.931034482759","110","59698","50.86206896551724","-1","100","14813","14813","14813","91.84610602384268","91.84610602384268","91.84610602384268"
"112","13484.068965517241","111","60760","50.86206896551724","-1","299","15005","15005","15005","287.8341935695758","287.8341935695758","287.8341935695758"
"113","13818.206896551725","112","61822","43.96551724137931","-1","100","15121","15121","15121","1611.7797667200464","1611.7797667200464","1611.7797667200464"
"114","14152.344827586207","113","62884","47.41379310344828","-1","100","15250","15250","15250","1183.8492385107857","1183.8492385107857","1183.8492385107857"
"115","14458.965517241379","114","63148","40.51724137931034","-1","100","15348","15348","15348","1402.6415525577656","1402.6415525577656","1402.6415525577656"
"116","14757.310344827587","115","64210","37.06896551724138","-1","100","15409","15409","15409","644.7273285969069","644.7273285969069","644.7273285969069"
"117","15091.448275862069","116","65272","40.51724137931034","-1","100","15516","15516","15516","1286.7912826624583","1286.7912826624583","1286.7912826624583"
"118","15425.586206896553","117","66334","50.86206896551724","-1","100","15660","15660","15660","1023.8549444533705","1023.8549444533705","1023.8549444533705"
"119","15759","118","67396","47.275862068965516","-1","99","15803","15803","15803","770.9296258085958","770.9296258085958","770.9296258085958"
"120","16093.137931034482","119","68458","50.86206896551724","-1","100","16091","16091","16091","711.6594033658474","711.6594033658474","711.6594033658474"
"121","16426.96551724138","120","69520","43.96551724137931","-1","100","16410","16410","16410","453.8767261957374","453.8767261957374","453.8767261957374"
"122","16756.55172413793","121","70582","43.96551724137931","-1","100","16506","16506","16506","612.1019475451424","612.1019475451424","612.1019475451424"
"123","17090.689655172413","122","71644","47.41379310344828","-1","100","16597","16597","16597","1668.461172574786","1668.461172574786","1668.461172574786"
"124","17424.827586206895","123","72706","43.96551724137931","-1","100","16949","16949","16949","1996.8954503710886","1996.8954503710886","1996.8954503710886"
"125","17758.96551724138","124","73768","43.96551724137931","-1","100","17014","17014","17014","1426.5795624694954","1426.5795624694954","1426.5795624694954"
"126","18093.103448275862","125","74830","43.96551724137931","-1","100","17366","17366","17366","1336.4204488834198","1336.4204488834198","1336.4204488834198"
"127","18427.241379310344","126","75892","43.96551724137931","-1","100","17373","17373","17373","-9.509900498999999","-9.509900498999999","-9.509900498999999"
"128","18739.137931034482","127","76954","37.06896551724138","-1","100","17711","17711","17711","1222.3946394577104","1222.3946394577104","1222.3946394577104"
